Designator,Mid X,Mid Y,Rotation,Layer
D1,96.565,-44.134442,0.0,bottom
D10,134.704244,-44.134442,0.0,bottom
D11,134.704244,-63.134442,0.0,bottom
D12,134.704244,-82.134442,0.0,bottom
D13,153.773866,-25.134442,0.0,bottom
D14,153.773866,-44.134442,0.0,bottom
D15,153.773866,-63.134442,0.0,bottom
D16,153.773866,-82.134442,0.0,bottom
D17,153.773866,-101.134442,0.0,bottom
D18,172.843489,-25.134442,0.0,bottom
D19,172.843489,-44.134442,0.0,bottom
D2,96.565,-63.134442,0.0,bottom
D20,172.843489,-82.134442,0.0,bottom
D3,96.565,-82.134442,0.0,bottom
D4,96.565,-101.134442,0.0,bottom
D5,115.634622,-44.134442,0.0,bottom
D6,115.634622,-63.134442,0.0,bottom
D7,115.634622,-82.134442,0.0,bottom
D8,115.515,-105.699442,0.0,bottom
D9,134.704244,-25.134442,0.0,bottom
SW1,107.5775,-47.279442,0.0,top
SW10,145.6775,-47.279442,0.0,top
SW11,145.6775,-66.329442,0.0,top
SW12,145.6775,-85.3525,0.0,top
SW13,164.7275,-28.229442,0.0,top
SW14,164.7275,-47.279442,0.0,top
SW15,164.7275,-66.329442,0.0,top
SW16,164.7275,-85.379442,0.0,top
SW17,164.7275,-104.429442,0.0,top
SW18,183.7775,-28.229442,0.0,top
SW19,178.755,-56.804442,180.0,bottom
SW2,107.5775,-66.329442,0.0,top
SW20,178.755,-94.9325,180.0,bottom
SW3,107.5775,-85.379442,0.0,top
SW4,107.5775,-104.429442,0.0,top
SW5,126.6275,-47.279442,0.0,top
SW6,126.6275,-66.329442,0.0,top
SW7,126.6275,-85.379442,0.0,top
SW8,136.06,-114.57,0.0,bottom
SW9,145.6775,-28.229442,0.0,top
U1,142.0,-22.0,-90.0,top
